Form,Unico,CUIT,RAZON,NOMBRECO,dom,auto,rama,emp cba,CALLE,ALTURA,PISO,DPTO,TELEFONOS,EMAIL,Contacto,cargo,TELEFONOS,Mail,CIERRE DE BALANCE,Coincidente con EET,Sale duplicado con Form 03/06/20,NOVEDAD 2019,1,2,3,4,5,6,7,8,Se modificó contacto,No ubicable,Se envia correo,Confirmacion de recepcion,Rechazo,NOT,Novedad 2020,Novedad 2021,OBSERVACIONES ENCUESTADOR OP 2020-2021,Encuestador Op. Telef 2020,Encuestador Op 2020- 2021,ZONA 2021,Salida 20/21
,,,,,,,,,,,,,,,DATOS OPERATIVOS 2019 Y TEEFONICO 2020,,,,,,,,llamdos telefonicos,,,,,,,,,,,,,,,,,,,,
"6,06-000405-5,30663471453,ELECTROLUX ARGENTINA S.A.,,6,1,51354,19,COSSENTINI OLGA,771,,,48671680 / 43031580 / 43031220,flopez@elx.com.ar,MARCELO LATTANZI,CONTROLLER FINANCIERO,54 341 465 7000 / /,MARCELO.LATTANZI@ELECTROLUX.COM,12,06-000405-5,,C,26/05,,,,,,,,,,SI,,,,22,22,""CONFIEMA RECEP Y SOLICITA:  les solicitamos que los días hábiles podamos contarlos a partir del 7 de junio, asumiendo el compromiso de respuesta para no más"
 allá del 30 de junio.
"Es nuestra intención responder en forma oportuna y correcta, por ello esperamos puedan extendernos el plazo"",Debora Lipartiti,Debora Lipartiti,3,3"
6,06-002731-3,30669160662,WEG EQUIPAMIENTOS ELECTRICOS SA,,7,1,51599,28,CHACABUCO,314,8,,3564214 / 43341901 / 43456646,wegba@weg.com.ar,MAXIMILIANO PÉREZ,APODERADO,03564-421484 / 03564-421459 /,MAXIMILIANOP@WEG.NET,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,Debora Lipartiti,Debora Lipartiti,3,3
6,06-002129-2,30678774495,OPERADORA DE ESTACIONES DE SERVICIOS SA,OPESA,2,1,50500,411,GUEMES MACHACA,515,,,46055955 / 47787322 / 45717304,svallea@repsolypf.com,FERNANDO TUÑEZ,JEFE DE CONTABILIDAD,54412579 / /,FERNANDO.TUNEZ@YPF.COM,12,06-002129-2,,C,26/05,,,,,,,,,,SI,,,,22,22,,Debora Lipartiti,Debora Lipartiti,3,3
6,06-006111-2,30688947487,COMERCIAL BARCA SRL,,13,0,52383,12,BELGRANO AV.,625,PB,,43111270 / 43433464 /,analiaspinella@arnet.com.ar,HÉCTOR LORENZO BARCA,SOCIO,4343-3464 / 4343-3557 /,HECTOR@COMERCIALBARCA.COM.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,Debora Lipartiti,Debora Lipartiti,3,3
6,06-004030-2,30707100261,S.M. RESINAS ARGENTINAS S.A.,S.M. RESINAS ARGENTINAS S.A.,7,1,51493,16,MOREAU DE JUSTO ALICIA,846,1,12,43427001 / 43427527 /,ARGENTINA@SMRESINAS.COM,KARINA DURÁN,ADM CONTABLE,5254-1023 / /,KDURAN@SMRESINAS.COM,12,06-004030-2,,C,26/05,,,,,,,,,,SI,,,,22,22,,Debora Lipartiti,Debora Lipartiti,3,3
"6,06-000577-9,30707290575,TUPPERWARE BRANDS ARGENTINA SA,,5,1,51332,118,SANTA FE AV,2767,,,47839000 / 47873003 /,//,MANUEL ALVAREZ,ADMINISTRATIVO DE CONTABILIDAD,48285800 / /,PABLOIBANEZY,12,06-000577-9,,C,,,,,,,,,,,NO,,,,26v,26v,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"6,06-002640-2,33709986509,BM CENTRO S.A.,AUTOWELT,1,1,50111,38,PASEO COLON AV,1047,.,,41069350 / 41069351 /,INFO@AUTOWELT.COM.AR,NADIA PEDERNERA,GERENTE DE ADMINISTRACIÓN,5288-3288 / /,NPEDERNERA@AUTOFERRO.COM,12,06-002640-2,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"13,13-003834-6,,EGESAC SA,,,,85111,447,VENEZUELA,2592,,,/ /,//,MARIA CRISTINA ANTONIOL,CONTADORA,0810-3333-272 INT. 6388 / /,CRISTINA.ANTONIOL@CSANTACATALINA.COM.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
15,15-006222-2,9,OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA ARGENTINA,,,1,66114,76,ALSINA,447,4,,6345-5175 ,//,ANTONIO CALO,PRESIDENTE OBRA SOCIAL,6345-5166 / /,SANDRA.RODRIGUEZ@UOM.ORG.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,CONFIRMA RECEP de mail,Debora Lipartiti,Debora Lipartiti,3,3
"15,15-004196-8,30679065382,OBRA SOCIAL TRABAJADORES PASTELEROS CONFITEROS PIZZEROS HELADEROS Y ALFAJOREROS DE LA REPUBLICA ARGE,,,1,66114,263,SARMIENTO,4446,,,4865-5541 / 4865-5543/5320 / 4861-0124,//,ROMINA TESTINO,EMPLEADA ADMINISTRATIVA,4865-8350 / /,ROMINA.TESTINO@PASTELEROS.ORG.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
15,15-005792-0,30679113433,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD DEL TURF,,,1,66114,101,FLORIDA,15,4,fr,43435171 / /,//,CAROLINA SOLEDAD BENITEZ,COORDINADORA CONTABLE,5070 2000 / /,BENITEZC@OSPAT.COM.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,Debora Lipartiti,Debora Lipartiti,3,3
16,16-005345-5,30683418176,GAMMASPECT S.R.L,,,0,85141,10,BARTOLOME MITRE,854,,,/ 43406200 /,INFO@GSPECT.BI-BA.COM.AR //,ALICIA A. KREYNESS,CONTADOR,15-4-490-7230 / /,AKREYNESS@YAHOO.COM.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,Debora Lipartiti,Debora Lipartiti,3,3
"30,30-898427-2,30677691197,COLEGIO LEON XIII,,,1,80210,224,DORREGO AV,2124,,,/ 47724343 /,info@leonxiii.com.ar //,NICOLÁS GONZÁLEZ CUETO,ADMINISTRADOR,4778-7373 / /,ADMINISTRACION@INSTITUTOLEONXII.EDU.AR,12,,,C,,,,,,,,,,,NO,,,,26v,26v,ESTAN CON ERROR AMBOS MAILS O EL COLEGIO NO RECIBE MAILS,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-026127-9,30679060194,INSTITUCION SALESIANA COLEGIO PIO IX,,,1,80210,227,YAPEYU,197,,,4981-1337 / 49811985 /,//,AGUSTINA CAMPO,CONTADORA,4981-1337 / /,ACAMPO@DONBOSCO.ORG.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-898430-3,30679061255,ASOCIACION CIVIL INSTITUTO MARIA AUXILIADORA,,,1,80100,363,DON BOSCO,3950,,,/ 49817081 /,//,HORACION RAUL FAURE,CONTADOR,4981-0418 / /,ECONOMIA@FMAABA.COM.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-005153-1,30679061948,CENTRO SALESIANO DE ESTUDIOS - INSTITUCION SALESIANA,CESBA,,1,80310,141,YRIGOYEN HIPOLITO,3951,,,/ 49837464 /,//,AGUSTINA CAMPO,CONTADORA,4981-1337 / /,ACAMPO@DONBOSCO.ORG.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-005614-3,30679063479,INSTITUTO MARIA INMACULADA,,,0,80210,24,SAN LUIS,3341,,,/ 48658706 /,//,HNA. LUCRECIA MORARD,,11-4865-8706 / /,MLMRMI@YAHOO.COM.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-005944-9,30679155438,EPISTEME SA.,COLEGIO DE LAS VICTORIAS,,0,80210,43,MARMOL JOSE,780,,,/ 49311233 /,delasvictorias@hotmail.com /,SOFIGUEROA SERGIO PABLO,DIRECTOR DE ESTUDIOS,49311233 / /,PSAFIGUEROA@DELASVICTORIAS.COM.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-898431-4,30679162329,INSTITUTO NUEVA POMPEYA,,,1,80100,150,FOURNIER,3157,,,/ 49188140 /,//,ANALIA SILVINA RODRIGUEZ,REPRESENTANTE LEGAL,4918-8140 / 4918-8140 /,ANALIA1971_RODRIGUEZ@YAHOO.COM.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-006518-7,30679162639,ASOC CIVIL INST MARIA AUXILIADORA A 194,COLEGIO MARIA AUXILIADORA,,0,80130,46,DE GARAY JUAN AV,4353,,,/ 49232109 /,auxgaray@rcc.com.ar //,MARÍA XIMENA LAMAS,DIRECTORA PEDAGÓGICA,4923-2109 / /,LAMASXIMENA@HOTMAIL.COM,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-005165-3,30679458678,INSTITUTO SAN MARTIN DE TOURS,,,1,80130,163,FIGUEROA ALCORTA PRES AV,3380,,,/ 48029192 /,secretaria@ismt.esc.edu.ar //,MARIO COTRONEO,ADMNISTRADOR,4802-9192 / /,TESORERIA@ISNT.EDU.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-898436-0,30686840952,ACADEMIA FEMENINA DEL SAGRADO CORAZON,,,1,80100,264,YRIGOYEN HIPOLITO,4350,,,/ 49584171 /,sagrado@sagrado.edu.ar // instituto@sagrado.edu.ar,MAYRA QUIROGA ALVAREZ,ADMINISTRADORA,4958-4171 / 4958-4171 /,ADMSAG@SAGRADO.EDU.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
"30,30-005941-6,30698814647,LOZANO SERGIO LUIS Y MONTENEGRO MARIA LORENA,LOS ALMENDROS,,0,80120,9,AMENABAR,1084,PB,,/ 47890666 /,//,MARIA LORENA MONTENEGRO,DIRECTORA,47890666 / /,INFO@LOSALMENDROS.COM.AR,12,,,C,26/05,,,,,,,,,,SI,,,,22,22,,""DE VEGA, Ricardo SUP"",Debora Lipartiti,3,3"
